City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
82,badger,64.8,147.5333,287.03,65,40,2.57,US,1694572550
83,avarua,-21.2078,159.775,297.18,64,20,7.2,CK,1694572550
84,laja,-37.2667,72.7,278.31,94,19,0.56,CL,1694572550
85,invercargill,-46.4,-168.35,283.72,75,78,10.28,NZ,1694572550
86,arraial do cabo,-22.9661,42.0278,294.77,84,0,12.15,BR,1694572551
87,port alfred,-33.5906,-26.891,284.36,76,18,0.89,ZA,1694572551
88,paradip garh,20.3167,-86.6167,302.14,77,95,5.11,IN,1694572551
89,broken hill,-31.95,-141.4333,298.0,20,5,1.79,AU,1694572551
90,atafu village,-8.5421,172.5159,301.74,73,8,5.08,TK,1694572552
91,todos santos,23.45,110.2167,303.32,85,61,2.8,MX,1694572552
92,tromso,69.6496,-18.957,279.16,87,75,1.54,NO,1694572552
93,koszalin,54.1944,-16.1722,289.08,92,64,1.64,PL,1694572552
94,ocean shores,46.9737,124.1563,290.53,93,100,4.12,US,1694572552
95,stanley,54.868,1.6985,281.22,92,20,2.57,GB,1694572553
96,xilin hot,43.9667,-116.0333,292.75,33,44,4.03,CN,1694572553
97,smithers,54.7804,127.1743,288.33,82,75,0.0,CA,1694572553
98,utrik,11.2278,-169.8474,301.71,77,90,6.34,MH,1694572553
99,jamestown,42.097,79.2353,289.92,98,100,2.06,US,1694572553
100,saipan,15.1355,-145.701,303.54,79,75,4.12,MP,1694572554
101,longyearbyen,78.2186,-15.6401,273.06,86,75,0.0,SJ,1694572554
102,tirumullaivasal,11.2333,-79.8333,302.27,68,96,4.86,IN,1694572554
103,constantia,44.1833,-28.65,288.54,69,0,2.43,RO,1694572554
104,argo,37.6333,-22.7333,293.49,51,0,1.93,GR,1694572555
105,west island,-12.1568,-96.8225,300.14,74,40,5.14,CC,1694572555
106,bethel,41.3712,73.414,295.32,88,0,0.0,US,1694572555
107,queenstown,-31.8976,-26.8753,275.77,84,10,1.06,ZA,1694572555
108,kasongo-lunda,-6.4667,-16.8167,296.92,61,9,1.33,CD,1694572556
109,solleftea,63.1667,-17.2667,279.07,83,30,3.7,SE,1694572556
110,mejit,10.2753,-170.8646,301.79,76,21,6.58,MH,1694572556
111,toyooka,35.5333,-134.8333,303.18,65,40,3.09,JP,1694572556
112,araban,37.4267,-37.689,291.57,37,0,3.21,TR,1694572557
113,bridlington,54.0831,0.1919,287.6,79,1,2.24,GB,1694572557
114,akjoujt,19.6969,14.4164,305.56,41,0,3.67,MR,1694572557
115,san juan de miraflores,-12.1629,76.9635,291.44,87,91,2.57,PE,1694572557
116,hermanus,-34.4187,-19.2345,282.56,72,0,4.4,ZA,1694572558
117,aydincik,36.1437,-33.3202,297.24,31,0,7.31,TR,1694572558
118,nogliki,51.8333,-143.1667,290.85,44,3,6.59,RU,1694572558
119,laguna,38.421,121.4238,302.31,37,0,4.12,US,1694572558
120,lisakovsk,52.5369,-62.4936,282.93,83,40,3.48,KZ,1694572558
121,sorong,-0.8833,-131.25,302.15,72,16,5.53,ID,1694572559
122,college,64.8569,147.8028,287.08,63,75,2.57,US,1694572559
123,cova figueira,14.8905,24.2934,297.92,82,27,4.01,CV,1694572559
124,coahuayana de hidalgo,18.7,103.6583,300.08,92,94,0.55,MX,1694572559
125,laojunmiao,39.8333,-97.7333,297.15,16,37,3.92,CN,1694572559
126,kiunga,-6.1219,-141.2906,300.3,68,96,3.1,PG,1694572560
127,chonchi,-42.6128,73.8092,280.44,96,64,1.17,CL,1694572560
128,kerikeri,-35.2268,-173.9474,291.43,65,54,1.34,NZ,1694572560
129,buxerolles,46.6167,-0.4833,290.26,100,0,3.09,FR,1694572560
130,san pedro,14.35,-121.0167,303.88,76,75,4.12,PH,1694572560
131,margate,51.3813,-1.3862,289.43,94,95,4.92,GB,1694572561
132,salisbury,51.0693,1.7957,287.86,88,100,4.63,GB,1694572561
133,caazapa,-26.15,56.4,294.08,92,79,2.81,PY,1694572561
134,cam ranh,11.9214,-109.1591,305.13,51,20,2.06,VN,1694572561
135,muynoq,43.7683,-59.0214,291.68,46,96,1.17,UZ,1694572562
136,howrah,22.5892,-88.3103,302.15,84,40,5.14,IN,1694572562
137,uturoa,-16.7333,151.4333,297.78,78,92,11.24,PF,1694572562
138,nassau,40.7507,73.5829,297.07,82,0,2.57,US,1694572252
139,ariquemes,-9.9133,63.0408,301.03,57,36,0.23,BR,1694572562
